alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,composite,8,2,8,32,256,512,1923.4853493836672,3.5942683640844376e-05,4.624051267443363e-07,1.4890069961547852
3.0,composite,8,2,16,2,32,544,2160.4356686729584,1.0904837646404495e-05,3.6890777874720726e-06,1.7041149139404297
3.0,composite,8,2,16,8,128,640,2497.7426746918336,9.375694892903267e-06,9.223304094918561e-07,1.985774040222168
3.0,composite,8,2,16,32,512,1024,3846.9706987673344,9.028793704792339e-06,2.3064227860913888e-07,2.9960248470306396
3.0,composite,8,4,1,2,10,810,3235.1361464602996,0.00014857199155388675,6.615248618468961e-05,0.5398969650268555
3.0,composite,8,4,1,8,40,840,3340.544585841198,0.00012044798695889428,1.6548026066098842e-05,0.6180949211120605
3.0,composite,8,4,1,32,160,960,3762.178343364792,0.00011437921336001513,4.1465168436616295e-06,0.9413878917694092
3.0,composite,8,4,2,2,20,1620,6470.272292920599,3.376704415438603e-05,3.306052694751482e-05,1.0661110877990723
3.0,composite,8,4,2,8,80,1680,6681.089171682396,1.04032383252163e-05,8.265256370099117e-06,1.2253148555755615
3.0,composite,8,4,2,32,320,1920,7524.356686729584,5.913370934344424e-06,2.0663383604180297e-06,1.877436876296997
3.0,composite,8,4,4,2,40,3240,12940.544585841199,1.656378990046851e-05,1.6528860000031287e-05,2.1546549797058105
3.0,composite,8,4,4,8,160,3360,13362.178343364792,4.15723869220423e-06,4.132242158672028e-06,2.468163013458252
3.0,composite,8,4,4,32,640,3840,15048.713373459168,1.1010813116213006e-06,1.033062293820386e-06,3.7407310009002686
3.0,composite,16,2,1,4,4,68,262.66917482400737,0.002313592271021534,7.5085427388987824e-06,31.600441932678223
3.0,composite,16,2,1,16,16,80,306.6766992960294,0.002312792847394767,5.887970006557275e-06,0.14674711227416992
3.0,composite,16,2,1,64,64,128,482.70679718411765,0.0023125930392422656,5.482826442304578e-06,0.2744631767272949
3.0,composite,16,2,2,4,8,136,525.3383496480147,0.0005399589788072209,1.3691165647866654e-06,0.21762609481811523
3.0,composite,16,2,2,16,32,160,613.3533985920589,0.0005395579089966002,5.605131725427981e-07,0.2829439640045166
3.0,composite,16,2,2,64,128,256,965.4135943682353,0.0005394576903516041,3.5836222878060653e-07,0.5436217784881592
3.0,composite,16,2,4,4,16,272,1050.6766992960295,0.00013292173161498502,5.562889016097472e-07,0.457319974899292
3.0,composite,16,2,4,16,64,320,1226.7067971841177,0.000132721101714943,1.5227013283602986e-07,0.5706009864807129
3.0,composite,16,2,4,64,256,512,1930.8271887364706,0.00013267099364044097,5.126537883093363e-08,1.0753469467163086
3.0,composite,16,2,8,4,32,544,2101.353398592059,3.316275687016618e-05,2.703936010650665e-07,0.8829817771911621
3.0,composite,16,2,8,16,128,640,2453.4135943682354,3.306231292670886e-05,6.841659683232137e-08,1.1409657001495361
3.0,composite,16,2,8,64,512,1024,3861.654377472941,3.303725149977782e-05,1.7922296979833163e-08,2.1685750484466553
3.0,composite,16,2,16,4,64,1088,4202.706797184118,8.31592110588444e-06,1.3471410997834e-07,1.7815589904785156
