n,alpha,gamma,p0,pn,c,R,neg,R_env,neg_env,purity,purity_env,x,z,p_success,witness
2,0.2,0.0625,0.04375000000000009,0.8437500000000002,0.18371173070873859,0.27992346141747704,0.12746173070873867,0.01699489742783178,2.220446049250313e-16,0.7876562500000006,0.7876562500000006,0.41399826638588966,-0.9014084507042253,0.8875000000000003,0.27992346141747704
2,0.2,0.065,0.04405600000000011,0.8392560000000003,0.183221832760182,0.2783316655203638,0.12487783276018227,0.01736269332494511,3.3306690738754696e-16,0.7802400893440008,0.7802400893440008,0.41485190455961635,-0.9002481569366201,0.8833120000000004,0.2783316655203638
2,0.2,0.0675,0.04437400000000009,0.8347740000000003,0.1827319348116253,0.27671586962325057,0.12230593481162555,0.01770648922205842,2.220446049250313e-16,0.7729012059040008,0.7729012059040008,0.4157023272796508,-0.8990522642376481,0.8791480000000005,0.27671586962325034
2,0.2,0.07,0.04470400000000005,0.830304,0.18224203686306856,0.27507607372613707,0.11974603686306862,0.018026285119171703,0.0,0.7656390000640002,0.7656390000640001,0.41654941866375744,-0.8978203627852543,0.8750080000000001,0.27507607372613707
2,0.2,0.0725,0.04504600000000012,0.8258460000000007,0.18175213891451217,0.2734122778290242,0.11719813891451258,0.018322081016284963,4.440892098500626e-16,0.7584528756640015,0.7584528756640015,0.4173930611706434,-0.8965520408960006,0.8708920000000009,0.273412277829024
2,0.2,0.075,0.04540000000000012,0.8214000000000004,0.18126224096595547,0.2717244819319107,0.11466224096595568,0.0185938769133982,2.220446049250313e-16,0.7513422400000008,0.7513422400000008,0.4182331355928827,-0.8952468850946007,0.8668000000000005,0.2717244819319107
2,0.2,0.0775,0.045766000000000084,0.8169660000000003,0.18077234301739875,0.27001268603479733,0.112138343017399,0.018841672810511412,2.220446049250313e-16,0.7443065038240007,0.7443065038240005,0.4190695210503347,-0.8939044801861991,0.8627320000000004,0.27001268603479733
2,0.2,0.08,0.04614400000000009,0.8125440000000005,0.18028244506884214,0.2682768901376842,0.10962644506884245,0.019065468707624822,4.440892098500626e-16,0.737345081344001,0.7373450813440011,0.41990209498407344,-0.8925244093314451,0.8586880000000006,0.2682768901376842
2,0.2,0.0825,0.04653400000000008,0.8081340000000006,0.17979254712028553,0.2665170942405708,0.1071265471202858,0.019265264604737986,3.3306690738754696e-16,0.7304573902240011,0.7304573902240014,0.42073073315085013,-0.8911062541244084,0.8546680000000006,0.2665170942405708
2,0.2,0.085,0.04693600000000009,0.8037360000000002,0.17930264917172886,0.2647332983434576,0.10463864917172905,0.019441060501851348,2.220446049250313e-16,0.7236428515840005,0.7236428515840005,0.42155530961811083,-0.8896495946733876,0.8506720000000003,0.2647332983434576
2,0.2,0.08750000000000001,0.047350000000000086,0.7993500000000001,0.1788127512231722,0.26292550244634416,0.10216275122317231,0.019592856398964464,2.220446049250313e-16,0.7169008900000003,0.7169008900000006,0.42237569675958936,-0.8881540096846579,0.8467000000000002,0.26292550244634416
2,0.2,0.09,0.04777600000000008,0.7949760000000005,0.17832285327461558,0.2610937065492309,0.0996988532746158,0.01972065229607778,2.220446049250313e-16,0.710230933504001,0.7102309335040009,0.4231917652514986,-0.8866190765492101,0.8427520000000005,0.26109370654923114
2,0.2,0.0925,0.04821400000000008,0.7906140000000007,0.177832955326059,0.2592379106521179,0.09724695532605943,0.01982444819319107,4.440892098500626e-16,0.7036324135840013,0.7036324135840013,0.42400338406934157,-0.8850443714325225,0.8388280000000008,0.2592379106521179
2,0.2,0.095,0.04866400000000009,0.7862640000000003,0.1773430573775023,0.25735811475500436,0.0948070573775025,0.019904244090304335,2.220446049250313e-16,0.6971047651840006,0.6971047651840008,0.42481042048536455,-0.8834294693674184,0.8349280000000003,0.2573581147550046
