a,kt,gamma,R,neg,margin
1.25,2.275,0.8972030915647136,0.0,4.440892098500626e-16,-0.0008401740318524917
1.25,2.3000000000000003,0.8997411562771963,0.0,5.551115123125783e-16,-0.000780711901747493
1.25,2.325,0.9022165559486499,0.0,9.992007221626409e-16,-0.0007254348012586798
1.25,2.35,0.9046308377844504,0.0,4.440892098500626e-16,-0.0006740503125268652
1.25,2.375,0.9069855107893365,0.0,1.1102230246251565e-16,-0.0006262862538790625
1.25,2.4000000000000004,0.9092820467105875,0.0,1.1102230246251565e-16,-0.0005818892975382581
1.25,2.4250000000000003,0.9115218809579128,0.0,8.881784197001252e-16,-0.0005406236800619957
1.25,2.45,0.9137064135006295,0.0,5.551115123125783e-16,-0.0005022699994492287
1.25,2.475,0.9158370097426897,0.0,4.440892098500626e-16,-0.00046662409323592225
1.25,2.5,0.9179150013761012,0.0,0.0,-0.00043349599225782056
1.25,2.5250000000000004,0.9199416872132795,0.0,1.1102230246251565e-16,-0.0004027089450960416
1.25,2.5500000000000003,0.9219183339988468,0.0,4.440892098500626e-16,-0.0003740985085380069
1.25,2.575,0.9238461772013897,0.0,4.440892098500626e-16,-0.00034751169968408714
1.25,2.6,0.9257264217856661,0.0,4.440892098500626e-16,-0.000322806205610325
1.25,2.625,0.9275602429657486,0.0,2.220446049250313e-16,-0.00029984964676034616
1.25,2.6500000000000004,0.9293487869395705,0.0,4.440892098500626e-16,-0.00027851889048655126
1.25,2.6750000000000003,0.9310931716053374,0.0,6.661338147750939e-16,-0.00025869941139210445
1.25,2.7,0.9327944872602503,0.0,2.220446049250313e-16,-0.00024028469534271855
1.25,2.725,0.9344537972819756,0.0,1.1102230246251565e-16,-0.00022317568422094633
1.25,2.75,0.9360721387932924,0.0,3.3306690738754696e-16,-0.00020728025868682208
1.25,2.7750000000000004,0.9376505233103266,0.0,6.661338147750939e-16,-0.00019251275638783866
1.25,2.8000000000000003,0.9391899373747821,0.0,5.551115123125783e-16,-0.0001787935232289908
